id,title,published_date,address,category,meters,floor,rooms,price
22109656,"Morges, centre ville, beau 4½ pièces",2019-08-21,Rue de l'Avenir 2 | 1110 Morges,Apartment,130,Floor 4,4.5,2975.0
21857124,Superbe logement avec magnifique vue et balcon,2019-08-20,Ch. Grosse Pierre 13 | 1110 Morges,Apartment,56,Floor 10,2.5,1650.0
21838110,Beau 2 pièces meublé à 1min de la gare de Morges,2019-08-16,1110 Morges,Apartment,50,,2.0,1690.0
21814732,PREMIER LOYER OFFERT ! Appartement proche du lac à Morges !,2019-08-13,Avenue Paderewski 26 A | 1110 Morges,Apartment,106,Floor 2,4.5,3195.0
21808109,"Muret 4A à Morges, 4½ pièces dans les combles",2019-08-12,Avenue Muret 4A | 1110 Morges,Apartment,95,Floor 3,4.5,2890.0
21797454,VILLA DE 6 PIÈCES ANCIENNE  A LOUER EN ETAT  A MORGES,2019-08-09,Chemin de Coderey 2 | 1110 Morges,Single-family house,190,,6.0,4000.0
21788462,Appartement neuf de 4.5 pièces (2 chambres) dans les comble d'une n...,2019-08-08,Rue Louis-de-Savoie 58 | 1110 Morges,Apartment,132,Floor 5,4.5,3850.0
21788460,4 appartements neufs de 3.5 pièces côté impasse,2019-08-08,Rue Louis-de-Savoie 58 | 1110 Morges,Apartment,87,Floor 1,3.5,2430.0
21787921,PREMIER LOYER OFFERT - Appartement de standing proche du lac,2019-08-08,Avenue Paderewski 32 A | 1110 Morges,Apartment,88,Floor 2,3.5,2530.0
21969082,La Côte : Atelier Couture/Pressing à vendre,2019-08-07,1110 Morges,Commercial property,,,,1900.0
21741140,2.5 pièces à deux pas de la gare de Morges,2019-07-31,Rue du Pont-Neuf 3 | 1110 Morges,Apartment,,Floor 4,2.5,1880.0
21741672,Jura Nord Vaudois : Restaurant Pizzéria en Location Gérance,2019-07-30,1110 Morges,Commercial property,,,,6000.0
21688508,Superbe appartement de 4.5 pièces traversant avec belles vues à Morges,2019-07-22,résidences de la côte | 1110 Morges,Apartment,,Floor 6,4.5,3700.0
21953899,La Côte : Kiosque PMU à vendre,2019-07-17,1110 Morges,Commercial property,,,,1700.0
21646918,Magnifique appartement duplex de 4.5 pièces de 150m2,2019-07-15,Chemin de la Bariliettaz | 1110 Morges,Apartment,150,Floor 2,4.5,2400.0
21635275," Büro ,  CH-1110 Morges, Morges - centre-ville ",2019-07-13,1110 Morges,Commercial property,,,,7900.0
22340384,Vos bureaux à louer à Morges de 135 à 152 m2,2019-07-12,1110 Morges,Commercial property,,Ground floor,,3310.0
22340377,Tea room en arcade au bord du lac à Morges,2019-07-12,1110 Morges,Commercial property,,,,4670.0
21461890,"Magnifique 4,5 pièces de standing avec vue sur le lac et le port de...",2019-07-11,Av. Ignace-Paderewski 28E | 1110 Morges,Apartment,,Floor 4,4.5,3900.0
21632458,Nyon : Superbe Arcade à remettre,2019-07-11,1110 Morges,Commercial property,,,,3000.0
21624814,La Côte : Kiosque à reprendre,2019-07-10,1110 Morges,Commercial property,,,,1950.0
21613887,Au coeur de Morges,2019-07-10,Rue Louis-de-Savoie 77 | 1110 Morges,Commercial property,320,,,8150.0
21590382,Morges-centre : magnifique bureaux à louer,2019-07-05,1110 Morges,Commercial property,,,,7900.0
